ID,X_original,Y_original,Elevation,Z_not_corrected_elevation,Z,azimuth,dip,polarity,formation,series,id,Dataset,X,Y
4300028552,575764.0,6707005.0,8.0,-52.0,-44.0,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,-2312683.39789081,6321939.2400466185
Parana_Basin_outrcrop_1,559708.0,6695008.0,0.0,0.0,0.0,230,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2322164.9244333673,6304280.706715031
Parana_Basin_outrcrop_2,561922.0,6693326.0,0.0,0.0,0.0,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2319447.5150766205,6303691.973848729
Parana_Basin_outrcrop_3,564917.0,6693143.0,0.0,0.0,0.0,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2316655.784112547,6304791.861217615
Parana_Basin_outrcrop_4,567806.0,6693623.0,0.0,0.0,0.0,155,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2314240.3176814336,6306447.833113561
Parana_Basin_outrcrop_5,570597.0,6694723.0,0.0,0.0,0.0,160,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2312175.6927357293,6308624.29924782
Parana_Basin_outrcrop_6,572376.0,6696694.0,0.0,0.0,0.0,102,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2311396.351776482,6311162.469783706
Parana_Basin_outrcrop_7,573045.0,6699618.0,0.0,0.0,0.0,100,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2312025.7676642844,6314095.245370106
Parana_Basin_outrcrop_8,573715.0,6702542.0,0.0,0.0,0.0,100,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2312654.2772442997,6317028.443574768
Parana_Basin_outrcrop_9,574385.0,6705467.0,0.0,0.0,0.0,100,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2313283.2094425764,6319962.548087216
Parana_Basin_outrcrop_10,575055.0,6708391.0,0.0,0.0,0.0,101,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2313911.7190225916,6322895.746291877
Parana_Basin_outrcrop_11,576069.0,6711163.0,0.0,0.0,0.0,114,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2314164.220748082,6325836.5663949475
Parana_Basin_outrcrop_12,577779.0,6713628.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2313656.18844744,6328793.292317569
Parana_Basin_outrcrop_13,579489.0,6716093.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2313148.1561467983,6331750.018240192
Parana_Basin_outrcrop_14,581198.0,6718558.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2312641.030153943,6334706.321544552
Parana_Basin_outrcrop_15,582908.0,6721024.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2312133.420471563,6337663.953774961
Parana_Basin_outrcrop_16,584618.0,6723489.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2311625.3881709212,6340620.6796975825
Parana_Basin_outrcrop_17,586328.0,6725954.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2311117.3558702795,6343577.405620204
Parana_Basin_outrcrop_18,588037.0,6728419.0,0.0,0.0,0.0,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2310610.229877425,6346533.7089245645
Parana_Basin_outrcrop_19,590103.0,6730469.0,0.0,0.0,0.0,150,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2309604.1654259753,6349264.769216746
Parana_Basin_outrcrop_20,592800.0,6731782.0,0.0,0.0,0.0,150,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2307714.7511020033,6351594.55279304
Parana_Basin_outrcrop_21,595497.0,6733096.0,0.0,0.0,0.0,150,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2305825.7593962923,6353925.2426771205
Parana_Basin_outrcrop_22,597986.0,6734658.0,0.0,0.0,0.0,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2304230.089039197,6356392.792293944
Parana_Basin_outrcrop_23,599745.0,6737088.0,0.0,0.0,0.0,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2303662.85601783,6359338.505738846
Parana_Basin_outrcrop_24,601504.0,6739518.0,0.0,0.0,0.0,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2303095.622996462,6362284.219183747
Parana_Basin_outrcrop_25,603263.0,6741948.0,0.0,0.0,0.0,130,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2302528.3899750947,6365229.932628647
Parana_Basin_outrcrop_26,604576.0,6744484.0,0.0,0.0,0.0,90,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2302410.16776249,6368083.2269542385
Parana_Basin_outrcrop_27,604086.0,6747443.0,0.0,0.0,0.0,77,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2304104.7860146286,6370557.908747827
Parana_Basin_outrcrop_28,603596.0,6750403.0,0.0,0.0,0.0,77,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2305799.8268850287,6373033.496849202
Parana_Basin_outrcrop_29,603106.0,6753363.0,0.0,0.0,0.0,77,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2307494.8677554294,6375509.0849505775
Parana_Basin_outrcrop_30,603206.0,6756296.0,0.0,0.0,0.0,111,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2308643.776338411,6378209.54751613
Parana_Basin_outrcrop_31,603957.0,6759201.0,0.0,0.0,0.0,111,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2309190.8452407033,6381159.757952039
Parana_Basin_outrcrop_32,604708.0,6762105.0,0.0,0.0,0.0,111,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2309737.491524734,6384109.062080161
Parana_Basin_outrcrop_33,604903.0,6764800.0,0.0,0.0,0.0,60,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2310699.7177216527,6386633.972127263
Parana_Basin_outrcrop_34,602423.0,6766488.0,0.0,0.0,0.0,30,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2313660.740659322,6387115.726382664
Parana_Basin_outrcrop_35,599800.0,6767194.0,0.0,0.0,0.0,340,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2316336.354477508,6386647.051979767
Parana_Basin_outrcrop_36,596941.0,6766282.0,0.0,0.0,0.0,340,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2318542.0605859384,6384612.233667673
Parana_Basin_outrcrop_37,566297.737,6701210.925,627.0,627.0,627.0,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2318814.063856952,6312687.409141203
Parana_Basin_outrcrop_38,571717.255,6712933.198,708.0,708.0,708.0,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2318856.3591304766,6325601.783719505
Parana_Basin_outrcrop_39,579053.037,6726735.729,877.0,877.0,877.0,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2318041.0844387156,6341211.360482969
Parana_Basin_outrcrop_40,592216.167,6751205.769,942.0,942.0,942.0,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,-2316452.722987465,6368951.727403735
GT-006-RS,592540.71767812,6705345.91955337,10.05,-989.35,-979.3,0,0,1,parana_basin,Parana_Province,7,CEP,-2296777.370323772,6327525.749781359
