ID,X_original,Y_original,Elevation,Z_not_corrected_elevation,Z,azimuth,dip,polarity,formation,series,id,Dataset,X,Y
VES18*,586647,6690511,7,-22.4,-21.4,0,0,1,unit1,Unit1,1,VES,586647,6690511
VES18*,586647,6690511,7,-113,-112,0,0,1,unit2,Unit2,2,VES,586647,6690511
VES19*,585889,6688452,7,-5.1,-4.1,0,0,1,unit1,Unit1,1,VES,585889,6688452
VES19*,585889,6688452,7,-113,-112,0,0,1,unit2,Unit2,2,VES,585889,6688452
GT-005-RS,589310.63618722,6694305.94818968,4.2,-344.5,-340.3,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,589310.63618722,6694305.94818968
GT-006-RS,592540.71767812,6705345.91955337,10.05,-265,-254.95,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,592540.71767812,6705345.91955337
GT-007-RS,600170,6719650,18.12,-178,-159.88,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,600170,6719650
2TO0001RS,617295,6755223,29,10,39,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,BDEP,617295,6755223
2PS0001RS,548888,6661381,11.2,-405,-393.8,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,BDEP,548888,6661381
TG-21,583610,6700175,9.18,-246.5,-237.32,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,583610,6700175
TG-22,590360,6699175,9.03,-313.55,-304.52,130,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,590360,6699175
TG-36,567620,6690510,14.63,-232.15,-217.52,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,567620,6690510
TG-37,582950,6694900,9.58,-285.75,-276.17,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,582950,6694900
TG-42,581125,6706225,5.34,-103,-97.66,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,581125,6706225
TG-54,579161,6690631,3.88,-301.7,-297.82,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,579161,6690631
TG-59,575080,6696920,11.45,-151.3,-139.85,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,575080,6696920
TG-65,574191,6685063,9.15,-358,-348.85,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,574191,6685063
TG-68,560250,6676280,18.21,-334.1,-315.89,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,560250,6676280
TG-69,565070,6682940,8.84,-292,-283.16,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,565070,6682940
